amount,account_age_days,transactions_last_24h,device_changes_30d,failed_attempts,international,new_device,transaction_hour,is_fraud
1802.11,945,0,2,2,0,0,20,0
955.02,200,2,2,0,0,0,5,0
2095.8,1266,3,3,2,0,0,6,1
5029.27,1263,6,0,1,0,0,7,0
867.7,303,3,1,1,0,0,6,0
867.71,1189,1,1,0,1,1,19,0
5319.92,738,4,0,0,0,0,11,1
2362.4,176,2,1,2,1,0,13,0
685.76,1053,7,3,0,0,0,23,0
1886.65,677,7,1,0,0,0,22,0
689.92,535,2,2,0,1,0,14,1
688.33,1318,2,2,2,0,0,16,0
1396.83,477,3,2,1,1,0,23,0
161.86,383,2,1,1,0,0,1,0
195.41,556,1,1,0,0,0,13,0
624.98,1797,1,2,1,0,0,8,0
398.29,1716,3,0,0,0,0,3,0
1501.54,1320,3,0,0,1,1,14,1
442.29,1675,5,3,1,1,0,2,1
267.12,334,3,0,0,1,1,11,0
4748.81,1272,2,1,1,0,0,1,1
875.0,1265,4,0,1,0,0,7,0
1173.24,1130,3,1,0,0,0,16,0
263.82,898,2,0,0,0,0,12,0
636.27,931,4,1,3,0,0,20,0
1225.28,685,3,1,0,1,0,18,1
346.89,561,3,1,0,0,0,0,1
1596.71,123,4,2,0,0,0,7,0
601.46,1059,2,0,1,0,1,23,1
819.18,618,2,1,1,0,0,5,0
600.82,988,3,3,1,1,0,8,0
6990.3,840,2,2,2,0,0,22,1
1081.93,416,4,1,1,0,0,22,1
380.81,708,5,2,1,0,0,15,0
2496.25,1645,2,2,1,0,0,6,0
323.49,637,4,1,0,1,0,15,0
1351.36,1351,2,0,0,1,0,14,0
154.52,1319,2,0,1,0,0,10,0
290.56,1456,1,1,2,0,1,17,0
1335.23,347,1,0,3,0,0,6,0
2294.95,37,8,0,1,0,0,10,0
1301.62,1724,8,0,3,1,0,3,0
976.87,512,1,2,2,0,1,0,1
811.51,849,1,2,0,0,1,6,0
250.0,1994,5,3,0,0,0,13,0
533.87,1924,2,1,0,0,0,18,0
691.84,535,4,0,2,0,0,7,0
3156.19,910,2,0,0,0,1,15,0
1546.3,773,3,3,1,0,0,5,0
188.1,1730,4,2,0,0,0,10,0
1516.38,1902,3,0,1,1,0,19,0
746.14,664,2,2,0,0,0,6,1
557.29,1042,5,1,1,0,0,13,0
2021.66,27,6,2,0,0,0,8,0
3074.81,536,3,1,0,0,1,9,0
2782.99,1053,3,2,0,1,0,2,0
473.8,1675,4,0,0,0,0,17,0
804.96,1008,3,1,2,0,0,14,0
1527.31,658,5,0,2,0,0,23,1
2908.94,1659,5,2,0,0,0,23,0
679.14,640,1,1,1,0,1,13,1
910.82,1904,3,0,0,0,0,1,0
362.73,1141,4,2,0,0,0,19,0
331.55,1156,4,0,1,0,1,15,0
2471.36,1313,3,1,1,1,0,10,0
4256.66,1742,3,1,0,1,0,6,0
1020.44,1260,4,5,0,0,0,2,1
2991.51,42,3,2,1,0,0,12,1
1574.41,1184,0,0,0,1,0,9,0
575.29,1788,2,0,1,1,0,13,0
1574.03,1715,3,1,0,1,0,17,1
5105.31,1149,5,1,1,1,1,13,0
1058.04,1284,5,2,2,1,0,23,1
5242.97,1300,6,0,0,0,0,10,0
79.86,213,3,2,0,0,0,3,1
2494.65,1987,1,0,0,0,0,12,0
1196.37,1497,3,0,1,0,0,9,0
813.21,836,5,1,1,0,1,1,0
1202.02,702,3,2,1,0,1,18,0
150.27,1594,2,3,2,0,0,2,1
880.36,1455,2,1,0,0,0,23,0
1567.3,1739,5,1,1,0,0,17,0
4807.32,80,8,1,4,0,0,12,0
653.1,955,4,1,0,0,0,4,0
488.58,1252,2,0,0,0,1,17,1
663.97,902,3,1,0,0,0,0,0
2739.15,1119,1,0,1,1,0,3,1
1523.48,424,7,0,1,0,0,1,1
645.64,1997,0,2,0,0,0,7,0
1832.19,919,2,0,0,0,0,12,0
1208.43,1972,5,1,3,1,1,3,1
2888.94,516,2,2,0,0,0,14,0
543.45,165,2,0,1,0,0,9,0
790.24,1450,6,1,2,0,0,0,0
740.92,997,5,1,0,0,0,15,0
253.78,1836,1,0,1,1,0,16,0
1474.57,993,1,2,0,0,0,19,0
1423.76,893,1,1,2,0,1,16,1
1102.26,1016,4,3,1,0,0,20,0
867.32,1066,4,0,1,0,0,15,0
266.3,1821,5,2,2,1,0,18,1
720.07,741,1,0,0,0,0,1,0
778.43,1427,5,0,1,0,0,15,0
491.63,755,4,0,1,0,0,10,0
933.29,1748,2,2,1,0,1,12,0
1642.63,416,6,1,1,0,0,6,0
7231.39,1324,2,1,0,0,0,4,1
1305.81,1079,3,2,1,0,0,4,0
1418.78,336,4,0,4,0,0,12,1
1017.96,1925,3,1,3,0,0,14,0
160.97,881,2,1,0,0,1,15,0
1067.94,1454,4,0,2,1,0,22,0
1164.71,972,1,1,0,0,0,13,0
12877.57,685,1,1,2,0,1,20,0
904.73,1813,0,0,2,0,0,16,0
1482.59,1358,1,1,0,0,0,18,0
1059.22,741,2,1,1,0,1,0,1
340.81,1430,3,0,0,1,0,14,0
3438.61,30,6,3,2,0,0,20,0
2326.06,1559,3,1,0,0,0,12,0
2418.81,1541,2,1,2,0,0,7,0
441.69,575,3,0,0,0,0,13,0
4459.51,221,1,0,1,0,0,8,0
269.93,827,3,1,5,0,0,15,1
1972.11,594,2,3,1,0,0,21,0
9803.12,1518,1,2,0,0,0,14,0
407.26,754,4,1,2,0,0,14,0
622.47,1277,3,1,0,1,1,18,0
1211.54,1588,3,2,3,1,1,2,1
662.83,1345,2,1,0,0,1,22,0
232.6,1063,3,3,0,0,0,10,0
1174.46,1021,3,0,2,0,0,11,0
379.06,1489,1,2,3,0,0,18,1
1760.92,1795,6,0,1,0,0,18,0
437.28,1962,7,1,0,0,1,11,0
5166.42,1863,2,1,2,0,0,6,0
501.07,1435,4,1,1,0,0,14,0
794.68,1436,4,2,0,0,0,16,0
2473.82,492,3,0,0,0,0,14,0
320.26,438,6,3,2,0,0,11,0
1376.72,479,4,0,1,0,1,10,0
4052.72,783,1,2,1,1,0,5,0
219.76,949,1,0,2,0,1,11,0
1319.01,1008,1,0,0,0,0,20,0
1422.09,72,1,0,0,0,0,6,0
2396.64,582,7,2,2,0,0,21,0
318.32,220,7,0,0,0,1,21,0
292.82,1028,1,1,0,1,0,18,0
1848.15,1886,1,0,1,0,0,16,0
1475.84,1003,2,2,1,0,0,8,1
1408.8,1937,1,2,0,0,0,13,1
1550.68,290,1,1,0,0,1,13,0
555.56,380,2,1,0,0,0,4,0
1383.34,1926,6,1,0,1,0,0,1
1470.08,804,3,2,1,0,1,15,0
536.81,1379,3,3,0,0,0,3,0
7085.28,743,3,2,0,1,0,11,0
1761.34,1959,3,0,1,0,0,12,0
333.18,80,6,0,0,0,0,6,0
2114.46,66,4,1,1,0,1,14,1
413.77,136,3,3,0,0,0,16,0
2409.28,399,4,0,0,0,0,19,0
3493.28,1727,2,3,2,0,0,17,0
482.66,347,3,0,3,0,0,23,0
2873.76,1872,2,0,2,0,0,17,0
1657.03,1985,4,1,2,0,1,13,0
2495.04,59,6,0,0,0,0,16,0
7308.5,778,2,0,2,1,0,20,0
858.01,519,6,2,0,0,0,3,1
516.08,1904,4,3,0,0,0,18,1
450.56,714,1,1,0,0,0,21,0
485.02,1868,4,0,2,0,0,1,0
1015.26,977,1,2,1,0,0,16,0
1542.49,1261,2,1,1,0,0,7,0
1446.19,1804,1,0,0,0,0,4,0
2507.86,79,4,3,1,0,0,1,0
1110.98,1582,6,1,2,0,1,3,1
4691.62,1779,0,1,0,0,0,16,0
841.63,1824,5,1,1,0,1,17,1
16650.06,1696,5,0,2,0,1,19,1
2050.15,115,4,0,1,0,0,19,0
465.37,986,1,3,0,0,0,19,1
375.82,1486,4,1,2,1,0,13,0
